model,init_mode,N,dx,dt,tmax,preeq_steps,D_f,label,r_i,D_i,sample_id,q_threshold,t_tr
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.05,0.10000000000000009,0.052500000000000005,0,0.5,3.8848290341210796
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.05,0.10000000000000009,0.052500000000000005,1,0.5,3.9224246283527266
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.05,0.10000000000000009,0.052500000000000005,2,0.5,3.6028023121622406
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.05,0.10000000000000009,0.052500000000000005,3,0.5,4.019283215755221
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.05,0.10000000000000009,0.052500000000000005,4,0.5,3.7941638319072424
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.1,0.20000000000000018,0.05500000000000001,0,0.5,4.119737957445671
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.1,0.20000000000000018,0.05500000000000001,1,0.5,3.9478812493928577
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.1,0.20000000000000018,0.05500000000000001,2,0.5,3.7324459885074224
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.1,0.20000000000000018,0.05500000000000001,3,0.5,3.8516274624497564
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.1,0.20000000000000018,0.05500000000000001,4,0.5,4.020207668582824
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.2,0.3999999999999999,0.06,0,0.5,4.331623034443102
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.2,0.3999999999999999,0.06,1,0.5,4.320358580587145
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.2,0.3999999999999999,0.06,2,0.5,4.201725498576916
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.2,0.3999999999999999,0.06,3,0.5,4.211362457849336
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.2,0.3999999999999999,0.06,4,0.5,4.039706516973283
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.5,1.0,0.07500000000000001,0,0.5,4.448431590163692
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.5,1.0,0.07500000000000001,1,0.5,4.895102101522131
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.5,1.0,0.07500000000000001,2,0.5,4.425578087491989
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.5,1.0,0.07500000000000001,3,0.5,4.321475787498954
phi4,preeq,64,1.0,0.05,10.0,500,0.0,1.5,1.0,0.07500000000000001,4,0.5,4.6494333478219465
phi4,preeq,64,1.0,0.05,10.0,500,0.0,2.0,2.0,0.1,0,0.5,4.675934692589176
phi4,preeq,64,1.0,0.05,10.0,500,0.0,2.0,2.0,0.1,1,0.5,4.495031790909037
phi4,preeq,64,1.0,0.05,10.0,500,0.0,2.0,2.0,0.1,2,0.5,4.747258575542337
phi4,preeq,64,1.0,0.05,10.0,500,0.0,2.0,2.0,0.1,3,0.5,4.623952418739266
phi4,preeq,64,1.0,0.05,10.0,500,0.0,2.0,2.0,0.1,4,0.5,4.48188436781924
phi4,preeq,64,1.0,0.05,10.0,500,0.0,3.0,4.0,0.15000000000000002,0,0.5,4.737708244704938
phi4,preeq,64,1.0,0.05,10.0,500,0.0,3.0,4.0,0.15000000000000002,1,0.5,4.950703200974956
phi4,preeq,64,1.0,0.05,10.0,500,0.0,3.0,4.0,0.15000000000000002,2,0.5,5.166474672888089
phi4,preeq,64,1.0,0.05,10.0,500,0.0,3.0,4.0,0.15000000000000002,3,0.5,5.014597135201099
phi4,preeq,64,1.0,0.05,10.0,500,0.0,3.0,4.0,0.15000000000000002,4,0.5,4.7649985372122226
