model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,p_ordered_seed,c_ordered_seed,seed_compactness,seed_bbox_area,seed_rg,ordered_seed_compactness,ordered_seed_bbox_area,ordered_seed_rg,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.065185546875,10.0,0.0,0.0,0.5,20.0,1.6881943016134133,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.065673828125,9.0,0.0,0.0,0.5,18.0,1.7568209223157663,0.0,0.0,nan,161.3,164.4,210.24063169373372
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.061279296875,9.0,0.0,0.0,0.5625,16.0,1.2957670877434002,0.0,0.0,nan,210.6,212.6,256.435422488481
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.072509765625,8.0,0.0,0.0,0.6666666666666666,12.0,1.3863170633011772,0.0,0.0,nan,264.7,266.2,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.070068359375,11.0,0.0,0.0,0.36666666666666664,30.0,2.1242402628268953,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.068359375,8.0,0.0,0.0,0.5333333333333333,15.0,1.5309310892394863,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.071533203125,7.0,0.0,0.0,0.5833333333333334,12.0,1.2453996981544782,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.073974609375,10.0,0.0,0.0,0.5,20.0,1.5132745950421556,0.0,0.0,nan,216.1,218.20000000000002,261.65738841010403
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.071044921875,10.0,0.0,0.0,0.625,16.0,1.5099668870541498,0.0,0.0,nan,166.0,167.0,210.93482463362423
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.072998046875,11.0,0.0,0.0,0.55,20.0,1.4993111365882401,0.0,0.0,nan,186.6,188.3,229.6474782903171
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,10,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.056396484375,8.0,0.0,0.0,0.8888888888888888,9.0,1.103970108290981,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,11,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06494140625,8.0,0.0,0.0,0.4,20.0,1.6393596310755,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,12,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.065673828125,8.0,0.0,0.0,0.5,16.0,1.4737282653189494,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,13,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.068603515625,9.0,0.0,0.0,0.5625,16.0,1.507184440694504,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,14,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.08056640625,12.0,0.0,0.0,0.6,20.0,1.448178933081897,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,15,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06494140625,12.0,0.0,0.0,0.6,20.0,1.596437005055668,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,16,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.064208984375,7.0,0.0,0.0,0.7777777777777778,9.0,1.0879675865519869,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,17,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.063720703125,9.0,0.0,0.0,0.5625,16.0,1.3517250067329378,0.0,0.0,nan,271.5,273.0,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,18,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06884765625,7.0,0.0,0.0,0.7777777777777778,9.0,1.0690449676496976,0.0,0.0,nan,227.1,228.20000000000002,270.32886840995724
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,19,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0615234375,8.0,0.0,0.0,0.5333333333333333,15.0,1.340475661845451,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,20,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.052001953125,10.0,0.0,0.0,0.6666666666666666,15.0,1.5524174696260025,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,21,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.064208984375,22.0,0.0,0.0,0.7333333333333333,30.0,2.004643370109086,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,22,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.063720703125,11.0,0.0,0.0,0.55,20.0,1.471492186930786,0.0,0.0,nan,82.2,86.0,130.64594859110443
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,23,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06201171875,6.0,0.0,0.0,0.75,8.0,1.0801234497346435,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,24,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.068603515625,11.0,0.0,0.0,0.55,20.0,1.4882459585222636,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,25,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.070556640625,11.0,0.0,0.0,0.55,20.0,1.6958871005616027,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,26,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.069580078125,8.0,0.0,0.0,0.8888888888888888,9.0,1.103970108290981,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,27,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.071044921875,19.0,0.0,0.0,0.4523809523809524,42.0,2.1249083408617206,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,28,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.069580078125,13.0,0.0,0.0,0.325,40.0,2.420328111161888,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.05,0.3,0.021,29,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.065185546875,8.0,0.0,0.0,0.4444444444444444,18.0,1.7677669529663689,0.0,0.0,nan,233.1,234.1,279.3528545454546
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.078857421875,9.0,0.0,0.0,1.0,9.0,1.1547005383792515,0.0,0.0,nan,276.7,279.8,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0830078125,20.0,0.0,0.0,0.625,32.0,2.3313086453749534,0.0,0.0,nan,274.3,278.40000000000003,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07080078125,10.0,0.0,0.0,0.625,16.0,1.3038404810405297,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.081787109375,11.0,0.0,0.0,0.55,20.0,1.54277843167974,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07470703125,13.0,0.0,0.0,0.43333333333333335,30.0,1.90918056092167,0.0,0.0,nan,68.9,72.9,118.71282979750646
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.070556640625,10.0,0.0,0.0,0.5,20.0,1.5,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0771484375,14.0,0.0,0.0,0.875,16.0,2.1213203435596424,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.066650390625,11.0,0.0,0.0,0.44,25.0,1.7296634173127678,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07373046875,10.0,0.0,0.0,0.625,16.0,1.4594519519326423,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07177734375,12.0,0.0,0.0,0.48,25.0,1.818118685772619,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,10,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07275390625,13.0,0.0,0.0,0.65,20.0,1.5112986695683461,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,11,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.070556640625,10.0,0.0,0.0,0.47619047619047616,21.0,2.0024984394500787,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,12,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.059814453125,6.0,0.0,0.0,0.75,8.0,1.0801234497346435,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,13,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06396484375,6.0,0.0,0.0,0.6666666666666666,9.0,0.9718253158075502,0.0,0.0,nan,246.4,248.9,297.4003024491001
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,14,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.072021484375,11.0,0.0,0.0,0.6111111111111112,18.0,1.9241827716833386,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,15,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.08154296875,14.0,0.0,0.0,0.56,25.0,1.6506028583273347,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,16,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.06298828125,7.0,0.0,0.0,0.7,10.0,1.3401187885209798,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,17,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.070556640625,11.0,0.0,0.0,0.44,25.0,1.656442468935327,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,18,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.07763671875,11.0,0.0,0.0,0.55,20.0,1.5587661999529314,0.0,0.0,nan,179.5,181.5,220.63869424370796
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,19,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.080810546875,28.0,0.0,0.0,0.5,56.0,2.4907993963089563,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,20,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.079833984375,12.0,0.0,0.0,0.8571428571428571,14.0,2.025874296857203,0.0,0.0,nan,nan,nan,nan
phi6,preeq,64,1.0,0.02,300.0,1000,0.02,1.0,1.0,0.009,1.1,0.3,0.022000000000000002,21,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,20,0.0751953125,12.0,0.0,0.0,0.75,16.0,1.4481789330818975,0.0,0.0,nan,166.20000000000002,170.1,213.0408908197653
