quantity,value
sample_count_total,600.0
sample_count_nucleated,206.0
sample_count_transitioned,165.0
sample_count_tnuc_and_ttr_observed,165.0
p_seed_vs_seed_compactness_pearson,-0.5039594150305895
p_seed_vs_seed_compactness_spearman,-0.5172944917082816
c_seed_vs_seed_compactness_pearson,-0.5347766954180123
c_seed_vs_seed_compactness_spearman,-0.5954234875198299
seed_rg_vs_seed_compactness_pearson,-0.6922550607157846
seed_rg_vs_seed_compactness_spearman,-0.7454331481115147
t_nuc_vs_t_tr_pearson,0.9967142828840343
t_nuc_vs_t_tr_spearman,0.9950978690074792
transition_delay_mean_ttr_minus_tnuc,43.529187665485416
transition_delay_std_ttr_minus_tnuc,4.275003295545479
transition_delay_median_ttr_minus_tnuc,44.499514930670585
label_1.05_p_seed_mean,0.06820068359375
label_1.05_seed_compactness_mean,0.580712950937951
label_1.10_p_seed_mean,0.0752783203125
label_1.10_seed_compactness_mean,0.5553093073593074
label_1.20_p_seed_mean,0.08716796875
label_1.20_seed_compactness_mean,0.5408418461829175
label_1.50_p_seed_mean,0.1277099609375
label_1.50_seed_compactness_mean,0.4942166287196049
label_2.00_p_seed_mean,0.1881298828125
label_2.00_seed_compactness_mean,0.45213591470258135
label_3.00_p_seed_mean,0.28683837890625
label_3.00_seed_compactness_mean,0.3962576951450347
